driver_number,best_lap,avg_lap,avg_st_speed,max_st_speed,avg_i1_speed,avg_i2_speed,laps_count,session_key
31,110.439,114.2134318181818,308.2564102564103,318.0,320.71794871794873,186.77272727272728,44,9141
44,107.305,113.64640909090909,307.3783783783784,312.0,311.1081081081081,188.11363636363637,44,9141
55,113.138,117.13886956521739,304.9047619047619,312.0,316.05555555555554,183.04347826086956,24,9141
63,110.603,113.95081818181819,303.8888888888889,313.0,311.6923076923077,187.47727272727272,44,9141
77,110.515,114.4536818181818,306.5405405405405,315.0,320.45,185.1818181818182,44,9141
81,,,,,109.0,,1,9141
1,73.889,120.06658333333333,272.51851851851853,305.0,259.19607843137254,250.54166666666666,72,9149
2,77.399,93.05214285714285,251.06666666666666,300.0,247.36363636363637,246.57142857142858,15,9149
4,74.39,120.250125,279.109375,322.0,269.078125,259.52777777777777,72,9149
10,74.441,120.16531944444445,274.67241379310343,324.0,264.3272727272727,255.79166666666666,72,9149
11,74.231,120.13694444444442,273.93333333333334,303.0,258.5652173913044,252.66666666666666,72,9149
14,73.837,120.11823611111112,273.26229508196724,323.0,261.24528301886795,253.90277777777777,72,9149
16,77.277,87.36080487804878,278.63157894736844,316.0,275.5625,260.1219512195122,42,9149
18,75.171,120.3446388888889,276.24590163934425,311.0,270.76271186440675,254.44444444444446,72,9149
20,75.489,120.5475633802817,277.2,324.0,262.20754716981133,252.63888888888889,72,9149
22,76.253,120.41336111111112,276.14516129032256,322.0,262.9166666666667,249.80555555555554,72,9149
23,74.468,120.27680555555555,276.55,327.0,263.54545454545456,251.54166666666666,72,9149
24,75.417,84.2221935483871,276.35087719298247,321.0,266.6078431372549,257.80645161290323,63,9149
27,74.472,120.35522222222221,278.13793103448273,334.0,265.59322033898303,250.47222222222223,72,9149
31,74.57,120.32218055555556,274.7368421052632,323.0,265.5625,251.47222222222223,72,9149
40,74.82,120.43070833333334,278.66101694915255,312.0,264.7169811320755,252.02777777777777,72,9149
44,73.904,120.249,276.06349206349205,324.0,269.15384615384613,256.02777777777777,72,9149
55,74.934,120.24055555555555,280.83870967741933,331.0,264.9655172413793,256.4861111111111,72,9149
63,75.124,120.84073611111113,277.93220338983053,323.0,269.23333333333335,252.36111111111111,72,9149
77,74.698,120.44609722222224,279.09375,329.0,263.4,253.09722222222223,72,9149
81,74.299,120.29902777777778,279.12698412698415,334.0,270.58730158730157,251.43055555555554,72,9149
1,85.24,86.6936862745098,312.9574468085106,347.0,310.9736842105263,313.84313725490193,52,9157
2,86.84,88.12964,325.0,343.0,318.6304347826087,318.88,51,9157
4,86.144,87.58641176470589,319.3636363636364,346.0,311.8888888888889,317.5098039215686,52,9157
10,85.758,88.30192,314.475,347.0,307.72727272727275,310.24,51,9157
11,85.522,86.81423529411764,322.83673469387753,354.0,314.0204081632653,320.5686274509804,52,9157
14,86.105,87.60207843137255,321.2083333333333,351.0,317.3333333333333,316.84313725490193,52,9157
16,85.58,86.91696078431373,326.7608695652174,354.0,315.16279069767444,322.8627450980392,52,9157
18,86.617,88.36077999999999,319.6734693877551,351.0,314.9130434782609,313.14,51,9157
20,86.278,88.6807,311.1363636363636,330.0,307.1,314.06,51,9157
22,,,,,,,1,9157
23,86.389,87.57864705882353,320.4468085106383,334.0,315.875,313.5686274509804,52,9157
24,85.983,88.2833,318.2682926829268,338.0,312.18918918918916,317.8,51,9157
