session_key,meeting_key,driver_number,position,number_of_laps,dnf,dns,dsq,gap_to_leader,best_time
9602,1246,4,1.0,16,False,False,False,"[0.0, 0.367, 0.0]",89.525
9602,1246,1,2.0,18,False,False,False,"[0.155, 0.04, 0.203]",89.68
9602,1246,44,3.0,16,False,False,False,"[0.391, 0.289, 0.316]",89.841
9602,1246,63,4.0,17,False,False,False,"[0.809, 0.513, 0.342]",89.867
9602,1246,81,5.0,18,False,False,False,"[0.256, 0.0, 0.428]",89.64
9602,1246,27,6.0,18,False,False,False,"[0.722, 0.51, 0.59]",90.115
9602,1246,14,7.0,17,False,False,False,"[0.682, 0.81, 0.689]",90.214
9602,1246,22,8.0,17,False,False,False,"[0.714, 0.649, 0.829]",90.289
9602,1246,16,9.0,19,True,False,False,"[0.784, 0.107, None]",89.747
9602,1246,55,10.0,16,False,True,False,"[0.668, 0.468, None]",90.108
9602,1246,23,11.0,12,False,False,False,"[0.677, 0.834, None]",90.474
9602,1246,43,12.0,12,False,False,False,"[0.702, 0.841, None]",90.481
9602,1246,11,13.0,14,False,False,False,"[0.622, 0.939, None]",90.579
9602,1246,20,14.0,12,False,False,False,"[0.827, 1.013, None]",90.653
9602,1246,31,15.0,15,False,False,False,"[0.956, 1.129, None]",90.769
9602,1246,3,16.0,6,False,False,False,"[1.083, None, None]",91.085
9602,1246,18,17.0,6,False,False,False,"[1.092, None, None]",91.094
9602,1246,10,18.0,9,False,False,False,"[1.31, None, None]",91.312
9602,1246,77,19.0,9,False,False,False,"[1.57, None, None]",91.572
9602,1246,24,20.0,9,False,False,False,"[2.052, None, None]",92.054
9608,1247,4,1.0,16,False,False,False,"[0.57, 0.267, 0.0]",92.33
9608,1247,1,2.0,17,False,False,False,"[0.0, 0.0, 0.031]",92.361
9608,1247,55,3.0,19,False,False,False,"[0.51, 0.252, 0.322]",92.652
9608,1247,16,4.0,20,False,False,False,"[0.195, 0.378, 0.41]",92.74
9608,1247,81,5.0,19,False,False,False,"[0.818, 0.473, 0.62]",92.95
9608,1247,63,6.0,15,False,False,False,"[0.49, 0.558, 0.644]",92.974
9608,1247,10,7.0,20,False,False,False,"[0.504, 0.578, 0.688]",93.018
9608,1247,14,8.0,18,False,False,False,"[0.927, 0.845, 0.979]",93.309
9608,1247,20,9.0,17,False,False,False,"[0.518, 0.89, 1.151]",93.474
9608,1247,11,10.0,17,True,False,False,"[0.565, 0.436, None]",93.02
9608,1247,22,11.0,14,False,False,False,"[0.749, 0.922, None]",93.506
9608,1247,27,12.0,12,False,False,False,"[0.555, 0.96, None]",93.544
9608,1247,31,13.0,15,False,False,False,"[0.94, 1.013, None]",93.597
9608,1247,18,14.0,14,False,False,False,"[0.987, 1.175, None]",93.759
9608,1247,30,15.0,11,False,True,False,"[0.293, None, None]",93.339
9608,1247,23,16.0,8,False,False,False,"[1.005, None, None]",94.051
9608,1247,43,17.0,6,False,False,False,"[1.016, None, None]",94.062
9608,1247,77,18.0,9,False,False,False,"[1.106, None, None]",94.152
9608,1247,44,19.0,6,False,False,False,"[1.108, None, None]",94.154
9608,1247,24,20.0,9,False,False,False,"[1.182, None, None]",94.228
9621,1248,55,1.0,21,False,False,False,"[0.273, 0.214, 0.0]",75.946
9621,1248,1,2.0,18,False,False,False,"[0.298, 0.213, 0.225]",76.171
9621,1248,4,3.0,15,False,False,False,"[0.0, 0.0, 0.314]",76.26
9621,1248,16,4.0,21,False,False,False,"[0.467, 0.34, 0.319]",76.265
9621,1248,63,5.0,19,False,False,False,"[0.689, 0.636, 0.41]",76.356
9621,1248,44,6.0,19,False,False,False,"[0.801, 0.672, 0.705]",76.651
9621,1248,20,7.0,18,False,False,False,"[0.62, 0.702, 0.94]",76.886
9621,1248,10,8.0,18,False,False,False,"[0.644, 0.747, 0.946]",76.892
9621,1248,23,9.0,18,False,False,False,"[0.684, 0.687, 1.119]",76.988
9621,1248,27,10.0,18,False,False,False,"[0.681, 0.694, 1.419]",76.995
9621,1248,22,11.0,11,False,False,False,"[0.677, 0.828, None]",77.129
9621,1248,30,12.0,11,False,False,False,"[0.875, 0.861, None]",77.162
9621,1248,14,13.0,13,False,False,False,"[0.802, 0.867, None]",77.168
9621,1248,18,14.0,14,False,False,False,"[0.902, 0.993, None]",77.294
9621,1248,77,15.0,14,False,False,False,"[0.888, 1.516, None]",77.393
9621,1248,43,16.0,6,False,False,False,"[1.053, None, None]",77.558
9621,1248,81,17.0,8,False,False,False,"[1.092, None, None]",77.597
9621,1248,11,18.0,9,False,False,False,"[1.106, None, None]",77.611
9621,1248,31,19.0,9,False,False,False,"[1.112, None, None]",77.617
9621,1248,24,20.0,9,False,False,False,"[1.567, None, None]",78.072
9627,1249,4,1.0,33,False,False,False,"[2.422, 0.0, 0.0]",83.405
9627,1249,63,2.0,29,False,False,False,"[0.599, 1.463, 0.173]",83.578
9627,1249,22,3.0,30,False,False,False,"[0.65, 1.62, 0.706]",84.111
9627,1249,31,4.0,31,False,False,False,"[0.649, 1.362, 1.07]",84.475
9627,1249,30,5.0,30,False,False,False,"[2.236, 0.81, 1.079]",84.484
9627,1249,16,6.0,29,False,False,False,"[1.317, 1.253, 1.12]",84.525
9627,1249,23,7.0,28,False,False,False,"[0.55, 1.045, 1.252]",84.657
9627,1249,81,8.0,28,False,False,False,"[1.592, 0.335, 1.281]",84.686
9627,1249,14,9.0,21,False,False,False,"[1.685, 0.191, 5.593]",85.035
9627,1249,18,10.0,19,False,False,False,"[2.058, 1.49, None]",86.334
9627,1249,77,11.0,21,False,False,False,"[2.111, 1.628, None]",86.472
9627,1249,1,12.0,19,False,False,False,"[0.0, 2.927, None]",87.771
9627,1249,11,13.0,18,False,False,False,"[1.513, 3.314, None]",88.158
9627,1249,55,14.0,17,False,False,False,"[1.781, 4.562, None]",89.406
9627,1249,10,15.0,21,False,False,False,"[0.898, 4.77, None]",89.42
9627,1249,44,16.0,11,False,False,False,"[2.628, None, None]",91.15
9627,1249,50,17.0,11,False,False,False,"[2.707, None, None]",91.229
9627,1249,43,18.0,5,False,False,False,"[2.748, None, None]",91.27
9627,1249,27,19.0,12,False,False,False,"[3.101, None, None]",91.623
9627,1249,24,20.0,12,False,False,False,"[3.741, None, None]",92.263
9640,1250,63,1.0,25,False,False,False,"[0.0, 0.212, 0.0]",92.312
9640,1250,55,2.0,24,False,False,False,"[0.298, 0.144, 0.098]",92.41
9640,1250,10,3.0,25,False,False,False,"[0.505, 0.312, 0.352]",92.664
9640,1250,16,4.0,23,False,False,False,"[0.26, 0.449, 0.471]",92.783
9640,1250,1,5.0,21,False,False,False,"[0.113, 0.518, 0.485]",92.797
9640,1250,4,6.0,20,False,False,False,"[0.406, 0.532, 0.696]",93.008
9640,1250,22,7.0,25,False,False,False,"[0.603, 0.522, 0.717]",93.029
9640,1250,81,8.0,21,False,False,False,"[0.264, 0.457, 0.721]",93.024
9640,1250,27,9.0,17,False,False,False,"[0.734, 0.547, 0.75]",93.062
9640,1250,44,10.0,24,False,False,False,"[0.039, 0.0, 15.794]",92.567
9640,1250,31,11.0,18,False,False,False,"[0.782, 0.654, None]",93.221
9640,1250,20,12.0,12,False,False,False,"[0.805, 0.73, None]",93.297
9640,1250,24,13.0,17,False,False,False,"[0.893, 0.999, None]",93.566
9640,1250,43,14.0,16,False,False,False,"[0.56, 1.182, None]",93.746
9640,1250,30,15.0,17,False,False,False,"[0.901, 1.69, None]",94.087
9640,1250,11,16.0,10,False,False,False,"[0.969, None, None]",94.155
9640,1250,14,17.0,9,False,False,False,"[1.072, None, None]",94.258
9640,1250,23,18.0,10,False,False,False,"[1.239, None, None]",94.425
9640,1250,77,19.0,10,False,False,False,"[1.244, None, None]",94.43
9640,1250,18,20.0,3,False,False,False,"[1.298, None, None]",94.484
9646,1251,1,1.0,22,False,False,False,"[0.338, 0.0, 0.0]",80.52
9646,1251,63,2.0,28,False,False,False,"[0.0, 0.382, 0.055]",80.575
9646,1251,4,3.0,22,False,False,False,"[0.337, 0.296, 0.252]",80.772
9646,1251,81,4.0,22,False,False,False,"[0.58, 0.434, 0.309]",80.829
9646,1251,16,5.0,26,False,False,False,"[0.037, 0.313, 0.332]",80.852
9646,1251,44,6.0,27,False,False,False,"[0.396, 0.408, 0.491]",81.011
9646,1251,55,7.0,26,False,False,False,"[0.206, 0.512, 0.521]",81.041
9646,1251,14,8.0,19,False,False,False,"[0.367, 0.521, 0.731]",81.208
