,doctor_link,price,experience,rating,review_count,clinics_count,dist_center,spec,is_kids,is_adults,doctor_source,district,price_log
29540,https://docdoc.ru/doctor/Sapronenkova_Olga,8800.0,43.0,4.200851382111322,16.0,2.0,10.477946703002795,детский невролог,True,True,Обе платформы,район Фили-Давыдково,9.082620630373812
29548,https://docdoc.ru/doctor/Sapryikina_Olga,6400.0,43.0,0.9636001524684328,17.0,2.0,7.228920531435789,акушер,False,True,Обе платформы,,8.764209507142004
29550,https://docdoc.ru/doctor/Saprykina_Yuliya_4,2500.0,21.0,4.299999999999999,0.0,2.0,,акушер,False,True,Обе платформы,,7.824445930877619
29552,https://prodoctorov.ru/moskva/vrach/1272260-sapukova/,1860.0,,4.083333333333333,4.0,2.0,7.399312634113712,акушер,False,True,ProDoctorov,,7.528869256642251
29560,https://docdoc.ru/doctor/Saraeva_Oksana,4750.0,25.0,4.896138099934802,41.0,3.0,3.230336864280256,акушер,False,True,Обе платформы,Тверской район,8.46611040118692
29563,https://docdoc.ru/doctor/Sarakulo_Lyubov,2200.0,15.0,4.779777373347937,22.0,3.0,32.32174344992476,диетолог,False,True,Обе платформы,микрорайон Родники,7.696667081526462
29577,https://docdoc.ru/doctor/Sarbasova_Aida,2625.0,24.0,4.45531496983104,25.0,3.0,2.1364743614631947,акушер,False,True,Обе платформы,,7.873217054862741
29582,https://docdoc.ru/doctor/Sargsyan_Nvard,4250.0,21.0,4.901912750448663,328.0,9.0,11.121704592238608,акушер,False,True,Обе платформы,район Фили-Давыдково,8.35490952835879
29584,https://docdoc.ru/doctor/Sardaeva_Darya,2700.0,5.0,4.360543745193519,11.0,5.0,10.994005422283138,эндокринолог,False,True,Обе платформы,район Черёмушки,7.901377353792616
29593,https://docdoc.ru/doctor/Saribekyan_Elina,3570.0,32.0,4.872136807608555,55.0,2.0,12.912046856311187,терапевт,False,True,Обе платформы,район Москворечье-Сабурово,8.18060094759445
29613,https://docdoc.ru/doctor/Sarkisyan_Anna,12075.0,16.0,3.960302118126876,9.0,2.0,11.934891208189807,гинеколог,False,True,Обе платформы,район Проспект Вернадского,9.39897529082673
29628,https://docdoc.ru/doctor/Sarkisyan_Satenik,3500.0,17.0,2.912223319015552,6.0,2.0,6.941345508924851,акушер,False,True,Обе платформы,,8.160803920954665
29637,https://docdoc.ru/doctor/Saroyan_Tata,6000.0,25.0,4.97992999804376,32.0,1.0,,репродуктолог,False,True,Обе платформы,,8.699681400989514
29640,https://docdoc.ru/doctor/Sartakov_Aleksey_2,4200.0,20.0,4.816771764492139,111.0,1.0,,детский остеопат,True,True,Обе платформы,,8.343077871169383
29643,https://docdoc.ru/doctor/Saruhanyan_Amaliya,3175.0,15.0,4.219898625846213,9.0,3.0,21.677351679244975,гинеколог,False,True,Обе платформы,,8.063377822367027
29648,https://docdoc.ru/doctor/Saryeva_Tamara,3175.0,28.0,2.4475880451308023,5.0,2.0,3.8522029347350415,эндокринолог,False,True,Обе платформы,Южнопортовый район,8.063377822367027
29649,https://docdoc.ru/doctor/Sarychev_Denis_2,3295.0,19.0,4.787494205029745,109.0,3.0,9.246315657168442,акушер,False,True,Обе платформы,район Фили-Давыдково,8.100464891029363
29651,https://docdoc.ru/doctor/Sarycheva_Anastasiya,6675.0,19.0,4.647808599050036,13.0,4.0,3.8972806437509564,детский невролог,True,True,Обе платформы,район Беговой,8.806274284781725
29654,https://docdoc.ru/doctor/Sarycheva_Elena,2762.5,21.0,4.7375,1.0,2.0,5.269335504775606,психиатр,False,True,Обе платформы,Донской район,7.924253271273318
29655,https://docdoc.ru/doctor/Sasina_Veronika,2750.0,10.0,2.9229559720295244,37.0,4.0,4.2703514698675145,детский невролог,True,True,Обе платформы,,7.919719760924575
29656,https://docdoc.ru/doctor/Sasonko_Mariya,900.0,29.0,3.8699809962606535,12.0,1.0,9.737255950162101,функциональный диагност,False,True,Обе платформы,,6.803505257608338
29657,https://docdoc.ru/doctor/Sasunova_Rimma,1700.0,19.0,4.2696586716897125,36.0,1.0,1.2808430199329381,маммолог,False,True,Обе платформы,,7.438971592395862
29659,https://docdoc.ru/doctor/Sataeva_Zifa,3000.0,6.0,4.250982954181167,8.0,5.0,37.61935049938528,акушер,False,True,Обе платформы,,8.006700845440367
29685,https://docdoc.ru/doctor/Safaralieva_Elza,4450.0,5.0,2.402784245879145,1.0,3.0,3.8522029347350415,терапевт,False,True,Обе платформы,Южнопортовый район,8.400884069015854
29704,https://docdoc.ru/doctor/Safieva_Zulfija,3500.0,18.0,4.792391531503563,81.0,1.0,14.974168969451341,терапевт,False,True,Обе платформы,,8.160803920954665
29706,https://docdoc.ru/doctor/Safina_Aygul,10000.0,28.0,4.494193470978297,58.0,4.0,10.641921978069474,сомнолог,False,True,Обе платформы,,9.210440366976517
29715,https://docdoc.ru/doctor/Safiullina_Adelija,4200.0,35.0,4.678454906274996,287.0,2.0,5.133458098559949,рефлексотерапевт,False,True,Обе платформы,Басманный район,8.343077871169383
29725,https://prodoctorov.ru/moskva/vrach/213656-besaeva/,4640.0,,4.548775256740189,12.0,1.0,2.9018190447803325,акушер,False,True,ProDoctorov,,8.442685139241176
29732,https://docdoc.ru/doctor/Safonova_Viktoriya,4300.0,31.0,3.5702677213904774,4.0,2.0,11.311575974459231,невролог,False,True,Обе платформы,район Проспект Вернадского,8.366602832783736
29740,https://docdoc.ru/doctor/Safonova_Tatyana1,3000.0,5.0,3.3400000000000003,2.0,3.0,17.79524042168103,диетолог,False,True,Обе платформы,,8.006700845440367
29741,https://prodoctorov.ru/moskva/vrach/64411-safonova/,4190.0,,3.7097944551737783,25.0,1.0,1.9591891053651063,акушер,False,True,ProDoctorov,,8.340694647925071
29743,https://prodoctorov.ru/moskva/vrach/542790-safronov/,4000.0,,3.293333333333333,5.0,2.0,5.913187319172485,детский невролог,True,False,ProDoctorov,,8.294299608857235
29745,https://docdoc.ru/doctor/Safronova__Sysolyatina,8000.0,25.0,4.609819666399495,36.0,2.0,30.654170480269233,гинеколог,False,True,Обе платформы,,8.987321812850125
29747,https://docdoc.ru/doctor/Safronova_Anastasiya_10,3950.0,2.0,3.25,0.0,2.0,0.290742422032002,кардиолог,False,True,Обе платформы,Тверской район,8.281723990411392
29749,https://docdoc.ru/doctor/Safronova_Anna_8,2590.0,20.0,3.74,4.0,1.0,18.847037882276982,акушер,False,True,Обе платформы,,7.85979918056211
29750,https://docdoc.ru/doctor/Safronova_viktoriya_5,3350.0,8.0,4.756090148876174,17.0,3.0,3.957182045276343,онколог,False,True,Обе платформы,район Хамовники,8.11701408773731
29751,https://docdoc.ru/doctor/Safronova_Gelena,4500.0,31.0,4.8219999458900435,167.0,5.0,19.858132657459013,гинеколог-хирург,False,True,Обе платформы,микрорайон имени Г.Т. Шитикова,8.412054873292933
29754,https://docdoc.ru/doctor/Safronova_Irina_2,2900.0,27.0,2.179087629848236,5.0,1.0,3.7288535317524314,акушер,False,True,Обе платформы,район Хамовники,7.972810784121404
29777,https://docdoc.ru/doctor/Saharova_Elena_12,4100.0,38.0,2.4057887263517874,2.0,2.0,11.785922318687314,функциональный диагност,False,True,Обе платформы,район Отрадное,8.31898612539206
29786,https://docdoc.ru/doctor/Sahnova_Ekaterina,3190.0,6.0,4.077834955443199,5.0,3.0,5.658192598861639,эндокринолог,False,True,Обе платформы,район Лефортово,8.068089626278244
